Horário;6º Ano A;6º Ano B;7º Ano A;7º Ano B;8º Ano A;9º Ano A;9º Ano B
;;;;;;;
07:20 - 08:10;;;;;;;
08:10 - 09:00;;;;;;;
09:50 - 09:50;;;;;;;
10:20 - 11:10;;;;;;;
11:10 - 12:00;;;;;;;
12:00 - 12:50;;;;;;;
